ID,±ÀÂËºô¯¸,Page-Rank
1,http://www.unscriptd.com/raw/football-(soccer)-cristiano-ronaldo-m88600/,1
2,http://www.sodagreen.com,4
3,http://fb.me/1UimczOkN,4
4,http://fb.me/4nfejDwri,9
5,https://instagram.com/p/5lt8JRyn7I/,9
6,https://instagram.com/p/5rwDgdSny_/,9
7,https://instagram.com/p/5sFPZ-yn7E/,9
8,https://instagram.com/p/5ttl_5yn7B/,9
9,https://instagram.com/p/5uRb0KynwJ/,9
10,https://instagram.com/p/5z80lhSn91/,9
11,https://instagram.com/p/52EYfESn1F/,9
12,https://instagram.com/p/530PnZyn9S/,9
13,https://instagram.com/p/56jsINSn6I/,9
14,https://instagram.com/p/5_ulS7Sn04/,9
15,https://instagram.com/p/6FJgoqyn9b/,9
16,https://instagram.com/p/6HxSn-Snxb/,9
17,https://twitter.com/ft_fanclub/status/629984323492450304,10
18,https://twitter.com/BTOB_ILL/status/630400156089876482,10
19,https://twitter.com/BTOB_ILL/status/630395980945321984,10
20,0.055261386,1
21,https://instagram.com/p/6Za4OXlQ8b/,9
22,https://instagram.com/p/6Zb07TFQ9Z/,9
23,https://instagram.com/p/5esXZLSny4/,9
24,https://instagram.com/p/7CorRoyn-M/,9
25,https://instagram.com/p/7ZU_ZtCMNs/,9
26,https://instagram.com/p/7fHlY_CMAw/,9
27,https://instagram.com/p/7fw4HDiMIs/,9
28,https://instagram.com/p/7jOEuYiMAV/,9
29,https://instagram.com/p/7jVSgWlQ6U/,9
30,https://instagram.com/p/7jVTJPSn88/,9
31,https://instagram.com/p/5fWiNSyn4K/,9
32,https://instagram.com/p/5kXN4Ryn2D/,9
33,https://www.youtube.com/watch?v=ECOhHZeNdnU,9
34,https://instagram.com/p/5lodCDyny8/,9
35,http://www.mayday.jp/justrockit/,4
36,http://www.jtbbwt.com/entertainmenttour/Mayday/jp/,4
37,http://mayday.jp/sp/yourlegend/,4
38,http://t.cn/8k6bwo4,9
39,https://youtu.be/-amFqGqM17w,9
40,https://youtu.be/Yg4kSD1likA,9
41,https://twitter.com/binmusic_jpn/status/599911437268430850,10
42,https://instagram.com/p/2yMlYqy9_L/,9
43,http://japan.cna.com.tw/news/aart/201505180005.aspx,6
44,http://hichannel.hinet.net/radio/index.do?id=205,5
45,http://hichannel.hinet.net/radio/index.do?id=222,5
46,http://HelloJYH.com,1
47,http://www.sanspo.com/geino/news/20150705/geo15070505010010-n1.html,7
48,https://tw.celebrity.yahoo.com/photos/fun%e9%9f%b3%e6%a8%82-flumpool-%e5%8f%b0%e5%8c%97%e6%bc%94%e5%94%b1%e6%9c%83%e7%b2%be%e8%8f%af%e7%85%a7-slideshow/;_ylt=A2oKmJBEDplV_XoABUFxOSY5;_ylu=X3oDMTBycWJpM21vBGNvbG8Dc2czBHBvcwMxBHZ0aWQDBHNlYwNzcg--,9
49,https://vine.co/v/OvJzjBMKUTl,1
50,http://japan.cna.com.tw/news/aart/201507050005.aspx#.VZkgRtkZoXQ.twitter,6
51,http://bit.ly/1ewKyXo,6
52,https://twitter.com/fp_kazuki/status/632004285870403584,10
53,https://instagram.com/p/0z8oePrmv0/,9
54,http://t.cn/zOY3093RT,6
55,http://t.cn/Ryb2AI7,9
56,http://t.cn/RyboG7i,7
57,http://t.cn/Ryb11dT,7
58,http://t.cn/RybBvuw,7
59,http://t.cn/RyGcv47,7
60,http://t.cn/RyGcceo,7
61,http://t.cn/RyGcJDp,7
